player_id,player_name,position,team,matches,minutes,attacking_score,chance_creation_score,passing_score,defensive_score,overall_score
1197,Lawrence Ati Zigi,GK,Ghana,2,189,,,,,89.0
677,Ali Reza Beiranvand,GK,IR Iran,3,276,,,,,88.3
755,José Vozinha,GK,Cabo Verde,4,400,,,,,87.4
350,Orlando Daniel Gill,GK,Paraguay,5,500,,,,,86.5
801,Khalil Mohammed Alowais,GK,Saudi Arabia,3,276,,,,,85.2
1041,Diogo Diogo Costa,GK,Portugal,5,472,,,,,84.7
946,Lionel Andrés Messi,FWD,Argentina,8,765,96.6,87.0,57.6,20.4,82.7
871,Iliman Cheikh Baroy Ndiaye,FWD,Senegal,3,120,94.9,78.2,68.9,39.2,82.6
969,Riyad Karim Mahrez,FWD,Algeria,4,269,88.8,87.1,71.3,44.9,82.2
382,Patrick Thomas Beach,GK,Australia,4,397,,,,,81.4
1151,Bukayo Ayoyinka Saka,FWD,England,7,387,95.0,84.0,35.2,41.3,80.9
842,Kylian Mbappe,FWD,France,8,720,99.1,74.5,46.0,19.0,79.6
326,Sebastian Matthew Berhalter,MID,USA,5,206,77.3,86.2,75.7,77.1,79.5
443,Eloy Victor Room,GK,Curaçao,3,271,,,,,79.2
215,José Vinicius,FWD,Brazil,5,459,95.6,80.0,41.3,19.7,78.7
839,Masour Ousmane Dembele,FWD,France,8,597,92.9,75.5,60.3,25.1,78.5
404,Abdülker Bardakci,DEF,Türkiye,3,274,51.0,61.8,90.0,82.0,78.5
199,Ruben Estephan Vargas,FWD,Switzerland,6,289,91.0,82.6,35.7,36.6,77.9
740,Pedro Antonio Porro,DEF,Spain,6,579,67.2,63.9,86.4,77.7,77.0
398,Arda Guler,FWD,Türkiye,3,279,83.7,75.5,80.9,35.6,76.6
1155,Marcus Rashford,FWD,England,5,278,91.8,72.8,58.6,18.2,76.4
634,Leandro Trossard,FWD,Belgium,6,510,85.1,77.6,54.0,40.5,75.7
884,Pape Alassane Gueye,MID,Senegal,4,237,90.6,74.1,74.2,66.4,75.5
431,Nico Cédric Schlotterbeck,DEF,Germany,2,184,74.7,43.0,72.3,82.0,75.4
1162,Anthony Michael Gordon,FWD,England,6,409,84.3,81.0,39.6,47.2,75.3
129,Nathan-Dylan Saliba,MID,Canada,3,185,83.2,77.6,63.8,77.7,75.3
1238,Andres Alberto Andrade,DEF,Panama,3,281,29.6,45.2,70.9,89.3,75.2
745,Nicholas Williams,FWD,Spain,6,121,76.2,82.7,66.3,53.0,74.5
329,Malik Leon Tillman,MID,USA,5,378,88.2,84.9,52.5,72.9,74.5
544,Crysencio Jilbert Sylverio Cir Summerville,FWD,Netherlands,4,252,84.7,80.4,37.6,39.7,74.4
660,Hamed Mahrous Mohamed Salah,FWD,Egypt,5,437,84.7,84.5,43.2,23.2,74.4
497,Piero Martin Hincapie,DEF,Ecuador,4,347,40.7,62.2,69.4,83.8,74.4
876,Ismaila Sarr,FWD,Senegal,4,374,93.8,67.9,19.8,35.9,74.1
422,Joshua Walter Kimmich,DEF,Germany,4,359,56.5,88.1,94.1,67.7,73.9
517,Moisés Isaac Caicedo,MID,Ecuador,4,370,54.3,78.9,88.5,68.6,73.8
1065,Alexandre Nuno,DEF,Portugal,5,410,65.2,74.6,78.2,73.6,73.8
16,Julián Andrés Quinones,FWD,Mexico,5,418,90.7,68.7,39.1,28.1,73.8
328,Alexander Michael Freeman,DEF,USA,5,404,66.7,52.3,81.0,75.8,73.6
531,Cody Mathès Gakpo,FWD,Netherlands,4,371,91.7,67.7,32.1,28.9,73.5
573,Jacob Mikael Widell Zetterstrom,GK,Sweden,2,180,,,,,73.4
509,Pedro Jeampierre Vite,MID,Ecuador,4,370,55.0,77.7,87.0,68.8,73.3
1125,Luis Fernando Diaz,FWD,Colombia,5,489,86.1,73.1,48.4,27.2,73.2
843,Michael Akpovie Olise,FWD,France,8,671,71.9,90.7,75.8,33.0,73.1
1152,Elliot Junior Anderson,MID,England,8,649,53.4,75.1,78.1,81.3,73.1
183,Gregor Kobel,GK,Switzerland,6,612,,,,,73.0
305,Lewis Ferguson,MID,Scotland,3,276,47.9,69.5,89.1,80.9,72.9
657,Ahmed Ibrahim Trezeguet,FWD,Egypt,4,184,85.9,57.8,56.0,52.6,72.6
834,Malo Arthur Gusto,DEF,France,5,125,33.7,62.6,79.8,78.4,72.6
209,Ramsés Alisson,GK,Brazil,5,468,,,,,72.3
483,Amad Diallo,FWD,Côte d'Ivoire,4,232,87.5,57.1,58.0,38.1,72.0
949,Cristian Gabriel Romero,DEF,Argentina,7,639,57.4,41.9,80.3,76.5,71.9
783,Mohammed Ali Lajami,DEF,Saudi Arabia,3,152,33.0,44.6,47.0,91.3,71.9
707,Michael Joseph Boxall,DEF,New Zealand,3,221,35.1,51.0,68.5,82.5,71.8
913,Kristoffer Vassbakk Köpp Ajer,DEF,Norway,5,502,45.4,44.7,74.4,79.7,71.7
487,Nicolas Pepe,FWD,Côte d'Ivoire,4,240,84.6,56.3,62.4,43.1,71.2
40,Mbekezeli Mfanufikile Mbokazi,DEF,South Africa,4,364,50.9,56.6,69.1,77.7,71.2
762,Paulo Joao Paulo,MID,Cabo Verde,2,111,47.6,72.7,69.9,89.1,71.1
822,Mathías Olivera,DEF,Uruguay,3,279,40.4,51.1,89.4,73.2,71.0
